LOCAL,SEXO,IDADE,ANO,Previsao,Lower_95,Upper_95
Acre,Ambos,0,2020,0.0169893452783139,0.0136935998658139,0.0202725993061224
Acre,Ambos,1-4,2020,0.0007776931180914,0.0006276416706967,0.0009539124060396
Acre,Ambos,5-9,2020,0.000309252528895,0.0002253719009919,0.0003438332433622
Acre,Ambos,10-14,2020,0.0003851743312767,0.0003378031813528,0.0004126003050991
Acre,Ambos,15-19,2020,0.0012646280129037,0.001119554021355,0.0014510402792471
Acre,Ambos,20-24,2020,0.001515428467494,0.0013624201414789,0.0016402799266761
Acre,Ambos,25-29,2020,0.0017603494732466,0.0015998250433336,0.0018709425187435
Acre,Ambos,30-34,2020,0.0018401447905333,0.0016556767014466,0.0019649498815802
Acre,Ambos,35-39,2020,0.0020994111884587,0.0017621747256461,0.0024536848878
Acre,Ambos,40-44,2020,0.0030955385616453,0.0028428796768769,0.0032210354656329
Acre,Ambos,45-49,2020,0.0044224123068623,0.0040439421024773,0.0046265101636016
Acre,Ambos,50-54,2020,0.0052883373761848,0.0050189714524242,0.0054832122604126
Acre,Ambos,55-59,2020,0.0091250592255679,0.0086913397163596,0.0095501577849043
Acre,Ambos,60-64,2020,0.0119197113341678,0.0110168742738727,0.0125873525530813
Acre,Ambos,65-69,2020,0.0191105922977118,0.0171267219022835,0.0203739769039027
Acre,Ambos,70-74,2020,0.0272512021781123,0.0259592508279571,0.0280589185114564
Acre,Ambos,75-79,2020,0.0455002701657111,0.044125538883755,0.0463050755390055
Acre,Ambos,80-84,2020,0.0758292023832453,0.0737232243104101,0.0779702624906112
Acre,Ambos,85-89,2020,0.127855620028282,0.124542872217287,0.132253610519395
Acre,Ambos,90+,2020,0.198692764775748,0.192851959528465,0.204844428550965
Acre,Ambos,0,2021,0.0162342948038523,0.0129385493913524,0.0195175488316609
Acre,Ambos,1-4,2021,0.0007688248853922,0.0006187734379976,0.0009450441733405
Acre,Ambos,5-9,2021,0.000309213175855,0.0002253325479519,0.0003437938903221
Acre,Ambos,10-14,2021,0.0003828394759519,0.0003354683260281,0.0004102654497744
Acre,Ambos,15-19,2021,0.0012640448047967,0.001118970813248,0.0014504570711401
Acre,Ambos,20-24,2021,0.0015155030608604,0.0013624947348453,0.0016403545200426
Acre,Ambos,25-29,2021,0.0017600753219345,0.0015995508920215,0.0018706683674313
Acre,Ambos,30-34,2021,0.0018418183117553,0.0016573502226687,0.0019666234028023
Acre,Ambos,35-39,2021,0.0020708486479991,0.0017336121851865,0.0024251223473405
Acre,Ambos,40-44,2021,0.0031075914212383,0.0028549325364698,0.0032330883252258
Acre,Ambos,45-49,2021,0.0044216724677059,0.0040432022633209,0.0046257703244452
Acre,Ambos,50-54,2021,0.0050617224596125,0.0047923565358519,0.0052565973438403
Acre,Ambos,55-59,2021,0.0090884334724738,0.0086547139632655,0.0095135320318101
Acre,Ambos,60-64,2021,0.0117371834570647,0.0108343463967695,0.0124048246759782
Acre,Ambos,65-69,2021,0.0198006717757725,0.0178168013803441,0.0210640563819634
Acre,Ambos,70-74,2021,0.0271864887285212,0.0258945373783661,0.0279942050618653
Acre,Ambos,75-79,2021,0.045511188332628,0.0441364570506718,0.0463159937059224
Acre,Ambos,80-84,2021,0.0759938889089274,0.0738879108360923,0.0781349490162934
Acre,Ambos,85-89,2021,0.127878002950601,0.124565255139606,0.132275993441715
Acre,Ambos,90+,2021,0.197464309881775,0.191623504634493,0.203615973656992
Acre,Ambos,0,2022,0.0157209007137681,0.0124251553012682,0.0190041547415767
Acre,Ambos,1-4,2022,0.0007602132298361,0.0006101617824414,0.0009364325177843
Acre,Ambos,5-9,2022,0.0003092124838152,0.0002253318559121,0.0003437931982824
Acre,Ambos,10-14,2022,0.0003805502997207,0.0003331791497968,0.0004079762735431
Acre,Ambos,15-19,2022,0.0012640448047967,0.001118970813248,0.0014504570711401
Acre,Ambos,20-24,2022,0.001515528887606,0.0013625205615909,0.0016403803467881
Acre,Ambos,25-29,2022,0.0017600248492364,0.0015995004193234,0.0018706178947332
Acre,Ambos,30-34,2022,0.0018394437742133,0.0016549756851267,0.0019642488652603
Acre,Ambos,35-39,2022,0.002043942682624,0.0017067062198114,0.0023982163819654
Acre,Ambos,40-44,2022,0.0031028625061753,0.0028502036214068,0.0032283594101628
Acre,Ambos,45-49,2022,0.0044215979814853,0.0040431277771004,0.0046256958382247
Acre,Ambos,50-54,2022,0.0048299938176934,0.0045606278939328,0.0050248687019211
Acre,Ambos,55-59,2022,0.0090523813231126,0.0086186618139043,0.0094774798824489
Acre,Ambos,60-64,2022,0.0115606680459063,0.0106578309856112,0.0122283092648198
Acre,Ambos,65-69,2022,0.0194535767830203,0.017469706387592,0.0207169613892112
Acre,Ambos,70-74,2022,0.0271277666560386,0.0258358153058834,0.0279354829893827
Acre,Ambos,75-79,2022,0.0455161695426877,0.0441414382607315,0.0463209749159821
Acre,Ambos,80-84,2022,0.0761106142972315,0.0740046362243964,0.0782516744045974
Acre,Ambos,85-89,2022,0.127958931993374,0.124646184182379,0.132356922484488
Acre,Ambos,90+,2022,0.195614532791011,0.189773727543729,0.201766196566229
Acre,Ambos,0,2023,0.0150975891906742,0.0118018437781742,0.0183808432184827
Acre,Ambos,1-4,2023,0.0007518573259233,0.0006018058785287,0.0009280766138716
Acre,Ambos,5-9,2023,0.0003092124716974,0.0002253318437942,0.0003437931861645
Acre,Ambos,10-14,2023,0.0003783417191067,0.0003309705691828,0.0004057676929291
Acre,Ambos,15-19,2023,0.0012640448047967,0.001118970813248,0.0014504570711401
Acre,Ambos,20-24,2023,0.0015155378375808,0.0013625295115657,0.001640389296763
Acre,Ambos,25-29,2023,0.0017600155932317,0.0015994911633186,0.0018706086387285
Acre,Ambos,30-34,2023,0.0018348757558525,0.0016504076667659,0.0019596808468995
Acre,Ambos,35-39,2023,0.0020183702607764,0.0016811337979638,0.0023726439601178
Acre,Ambos,40-44,2023,0.0030955117353179,0.0028428528505494,0.0032210086393055
Acre,Ambos,45-49,2023,0.0044217394140776,0.0040432692096927,0.004625837270817
Acre,Ambos,50-54,2023,0.0046379201677302,0.0043685542439696,0.0048327950519579
Acre,Ambos,55-59,2023,0.0090167211549256,0.0085830016457173,0.0094418197142619
Acre,Ambos,60-64,2023,0.011389809451287,0.0104869723909919,0.0120574506702005
Acre,Ambos,65-69,2023,0.0191409360610993,0.0171570656656709,0.0204043206672902
Acre,Ambos,70-74,2023,0.0270716481149366,0.0257796967647815,0.0278793644482807
Acre,Ambos,75-79,2023,0.0455294937801742,0.044154762498218,0.0463342991534686
Acre,Ambos,80-84,2023,0.0761851867427379,0.0740792086699028,0.0783262468501039
Acre,Ambos,85-89,2023,0.127649420398828,0.124336672587834,0.132047410889942
Acre,Ambos,90+,2023,0.194110111472815,0.188269306225532,0.200261775248032
