LOCAL,SEXO,IDADE,RMSE,MAE,sMAPE
Brasil,Mulheres,0,0.0009150670982324,0.0007527340621797,6.31134915336008
Brasil,Mulheres,1-4,3.57418823591675e-05,3.41766874768979e-05,6.92530989765595
Brasil,Mulheres,5-9,3.08402925053228e-05,3.04866610458672e-05,14.2282869357996
Brasil,Mulheres,10-14,1.76854924468926e-05,1.75026659174205e-05,6.99422017356103
Brasil,Mulheres,15-19,6.0979238910251e-05,5.92200484412473e-05,12.353527595881
Brasil,Mulheres,20-24,3.54337997726737e-05,3.45573787498937e-05,5.98698676911331
Brasil,Mulheres,25-29,5.12891630308506e-05,5.08125080471583e-05,7.45684064871854
Brasil,Mulheres,30-34,9.50463995649356e-05,9.47039197081479e-05,10.2114656281526
Brasil,Mulheres,35-39,7.95024073623434e-05,7.82931521429034e-05,6.06618093237119
Brasil,Mulheres,40-44,0.0001317181990104,0.0001312181030729,6.92362622478767
Brasil,Mulheres,45-49,0.0002197239743752,0.0002195652748273,7.84042971484448
Brasil,Mulheres,50-54,0.0003051095001027,0.0003047999577367,7.37060189837723
Brasil,Mulheres,55-59,0.0004859616711465,0.0004850795059653,7.84432744761504
Brasil,Mulheres,60-64,0.0003952611193565,0.0003795088830262,4.03213821773353
Brasil,Mulheres,65-69,0.0008242056916645,0.0008033222926736,5.52106789697459
Brasil,Mulheres,70-74,0.001211410531132,0.0012102535365099,5.74733260396427
Brasil,Mulheres,75-79,0.0015591263120714,0.0015583255618379,4.27129761530788
Brasil,Mulheres,80-84,0.0029793242992223,0.0029723097285013,4.64662662829602
Brasil,Mulheres,85-89,0.005099654033494,0.0049729177571361,4.45925672945953
Brasil,Mulheres,90+,0.0032758888454114,0.0032347784130282,1.71970369325648
Brasil,Homens,0,0.0010685342994166,0.0009401023649293,6.63046646644242
Brasil,Homens,1-4,4.67543669139111e-05,3.93353882678368e-05,6.82221215104822
Brasil,Homens,5-9,3.58713538100529e-05,3.53720097974763e-05,13.1958574972299
