Local,Sexo,faixa_etaria,RMSE,MAPE,MAE
Acre,Ambos,0,0.0030481333981486,17.76677718430243,0.0027048072011514
Acre,Ambos,1-4,0.0006505945269527,123.78115371821744,0.0006488864382203
Acre,Ambos,5-9,0.0003067967129852,147.46866597538263,0.0002994052484014
Acre,Ambos,10-14,0.0003121555658732,132.59597647044492,0.000309255076037
Acre,Ambos,15-19,0.0003524858264882,22.68690044903425,0.0003038774646415
Acre,Ambos,20-24,0.0012851040146263,115.84782746342144,0.0012729700905293
Acre,Ambos,25-29,0.001391062029803,111.68731853192232,0.0013867070546189
Acre,Ambos,30-34,0.0013727762086484,107.45363292879055,0.0013703826959569
Acre,Ambos,35-39,0.0014454899513284,94.68898660731251,0.0014422481055141
Acre,Ambos,40-44,0.0017996717643632,89.87246948763833,0.0017872513259887
Acre,Ambos,45-49,0.002437268641115,79.44882429713779,0.0024346354646247
Acre,Ambos,50-54,0.0031102423710702,72.71062219069785,0.0030943911756039
Acre,Ambos,55-59,0.003900788176864,58.12015183557872,0.0038907441869848
Acre,Ambos,60-64,0.0056180131590631,57.35250916655272,0.0055868342659313
Acre,Ambos,65-69,0.0015203865993028,7.266095122085579,0.0014435881794899
Acre,Ambos,70-74,0.0085199218677766,37.46657476783118,0.0085131234856131
Acre,Ambos,75-79,0.0017651956733367,3.3709441463649443,0.0015311267075903
Acre,Ambos,80-84,0.0008869767299039,1.041485590490017,0.0007809366170392
Acre,Ambos,85-89,0.0047611848659519,3.2782033940268893,0.0041037702674217
Acre,Ambos,90+,0.0096004664873841,4.693241259808157,0.0093178961612531
Acre,Mulheres,0,0.0023583128031055,11.958866067943536,0.0016918885113217
Acre,Mulheres,1-4,0.0006326293050793,127.45751273213924,0.000626323142246
Acre,Mulheres,5-9,0.0001069626813026,25.066735065048917,8.732469060137598e-05
Acre,Mulheres,10-14,3.3107853266764014e-05,8.133445833474411,2.663522208836053e-05
Acre,Mulheres,15-19,4.037216746306485e-05,5.855376399443883,3.424077688863843e-05
Acre,Mulheres,20-24,0.0004392672530366,123.76877158451916,0.000434986847122
Acre,Mulheres,25-29,0.0005647033670326,112.52075053250888,0.0005555896325159
Acre,Mulheres,30-34,0.0006485593673938,105.20923350316995,0.0006474505891698
Acre,Mulheres,35-39,0.0009127751191082,117.72169832989098,0.000904265671613
Acre,Mulheres,40-44,0.0012469038105266,98.12681308449017,0.0012421542626063
Acre,Mulheres,45-49,0.0001852018776772,5.323792600351538,0.0001619079190314
Acre,Mulheres,50-54,0.0019810034964029,64.01647360700808,0.001955467330249
