regiao,Faixa_Etaria,taxa,ano,previsto,previsao_lee_carter_2_1$lmt_inf,previsao_lee_carter_3_1$lmt_max
Brasil,0,Homens,2024,0.008280422568182419,0.007389728684961737,0.009278472976578528
Brasil,0,Homens,2025,0.00782974815913255,0.006927491920870565,0.008849516814410882
Brasil,0,Homens,2026,0.007403602380270342,0.006494887961037638,0.00843945708285745
Brasil,0,Homens,2027,0.007000650224134078,0.006089849787965407,0.008047670347718422
Brasil,0,Homens,2028,0.006619629343044075,0.005710498932873536,0.007673496336201928
Brasil,0,Homens,2029,0.006259346094485131,0.005355115682050324,0.007316259042147452
Brasil,0,Homens,2030,0.005918671801724991,0.005022117266458969,0.006975280352470591
Brasil,0,Homens,2031,0.0055965392179542104,0.0047100412276699834,0.006649888972117103
Brasil,0,Homens,2032,0.005291939182870551,0.004417532279642499,0.0063394263001213345
Brasil,0,Homens,2033,0.005003917461233761,0.004143331619476236,0.006043250277419356
Brasil,0,Homens,2034,0.004731571753486769,0.003886268011836339,0.005760737857041205
Brasil,0,Homens,2035,0.004474048869078258,0.0036452501976758298,0.0054912865228464
Brasil,0,Homens,2036,0.004230542053631442,0.0034192603196534503,0.0052343151425680535
Brasil,0,Homens,2037,0.004000288461585663,0.0032073481481430547,0.004989264350725432
Brasil,0,Homens,2038,0.0037825667663932577,0.003008625952290102,0.004755596597620234
Brasil,0,Homens,2039,0.003576694900785061,0.0028222639015827913,0.004532795960763052
Brasil,0,Homens,2040,0.0033820279200253117,0.002647485911771072,0.0043203677877851464
Brasil,0,Homens,2041,0.0031979559814621417,0.0024835658689743127,0.0041178382208936996
Brasil,0,Homens,2042,0.0030239024340440565,0.0023298241801927317,0.0039247536395047395
Brasil,0,Homens,2043,0.002859322011817322,0.002185624608946523,0.003740680048072746
Brasil,0,Homens,2044,0.0027036991257449886,0.0020503713625784894,0.003565202429164525
Brasil,0,Homens,2045,0.0025565462484962113,0.001923506403656577,0.0033979240767149387
Brasil,0,Homens,2046,0.0024174023871458366,0.0018045069624388942,0.003238465920619178
Brasil,0,Homens,2047,0.0022858316389996083,0.001692883230887783,0.0030864658509916977
Brasil,0,Homens,2048,0.002161421826020734,0.0015881762215029461,0.00294157804829603
Brasil,0,Homens,2049,0.0020437832035798504,0.0014899557764728815,0.002803472323939238
Brasil,0,Homens,2050,0.0019325472394832064,0.0013978187144531066,0.0026718334746973034
Brasil,0,Homens,2051,0.0018273654594540487,0.001311387103766949,0.0025463606533979903
Brasil,0,Homens,2052,0.0017279083554504358,0.001230306652062042,0.0024267667575651425
Brasil,0,Homens,2053,0.0016338643533994781,0.0011542452034970362,0.002312777837171532
Brasil,0,Homens,2054,0.0015449388371141922,0.001082891335418707,0.0022041325222173533
Brasil,0,Homens,2055,0.0014608532253351486,0.0010159530472505435,0.002100581470519294
Brasil,0,Homens,2056,0.0013813440990054972,9.531565349735056e-4,0.0020018868358389307
Brasil,0,Homens,2057,0.0013061623760453772,8.94245045156273e-4,0.0019078217562819883
