ano,faixa_etaria,mx_previsto,local,sexo,ax,n,qx,px,lx,dx,Lx,Tx,ex
2024,0,0.008321117964337089,Brasil,Homens,0.06627786742629085,1,0.008256964553368357,0.9917430354466317,100000,825.6964553368357,99229.02894486435,7376184.652770103,73.76184652770102
2024,1-4,3.4152552858290896e-4,Brasil,Homens,1.6286756800773343,4,0.0013649966475108976,0.9986350033524891,99174.30354466317,135.37259185769335,396376.20185932954,7276955.623825239,73.37541443432532
2024,5-9,2.0657696413007453e-4,Brasil,Homens,2.5,5,0.0010323516704653743,0.9989676483295347,99038.93095280547,102.2430058102336,494939.0472495018,6880579.421965909,69.47348235457709
2024,10-14,3.4691524228890763e-4,Brasil,Homens,2.5,5,0.0017330731377258417,0.9982669268622741,98936.68794699524,171.4645162165015,494254.7784444349,6385640.374716408,64.54269399171193
2024,15-19,0.002136451613441468,Brasil,Homens,2.5,5,0.010625505869312032,0.989374494130688,98765.22343077874,1049.4304612476537,491202.5410007746,5891385.596271972,59.65040518944452
2024,20-24,0.002695632821444978,Brasil,Homens,2.5,5,0.013387941669783243,0.9866120583302167,97715.79296953109,1308.2133364926976,485308.4315064237,5400183.055271198,55.26417881043075
2024,25-29,0.002389166715365871,Brasil,Homens,2.5,5,0.011874905752897034,0.9881250942471029,96407.57963303839,1144.8309220072465,479175.8208601738,4914874.623764774,50.98016818254891
2024,30-34,0.002375844483449588,Brasil,Homens,2.5,5,0.011809081066978961,0.988190918933021,95262.74871103113,1124.9655221918122,473501.32974967617,4435698.8029046,46.562784119948034
2024,35-39,0.0026831225200200544,Brasil,Homens,2.5,5,0.013326222878321197,0.9866737771216788,94137.78318883933,1254.5010800455511,467552.66324408277,3962197.4731549243,42.08934328957801
2024,40-44,0.0034557825858503085,Brasil,Homens,2.5,5,0.0171309111680161,0.9828690888319839,92883.28210879378,1591.1752547995252,460438.47240697005,3494644.8099108413,37.62404525948576
2024,45-49,0.004740979181325753,Brasil,Homens,2.5,5,0.02342722593059584,0.9765727740694041,91292.10685399425,2138.7208129486203,451113.73223759973,3034206.3375038714,33.23623960564908
2024,50-54,0.006919268770195069,Brasil,Homens,2.5,5,0.03400806647031837,0.9659919335296816,89153.38604104563,3031.9342785378335,438187.09450888354,2583092.6052662716,28.973578233776035
2024,55-59,0.010009442489516353,Brasil,Homens,2.5,5,0.048825424257258596,0.9511745757427414,86121.45176250779,4204.916419955473,420094.96776265034,2144905.510757388,24.90558933762835
2024,60-64,0.013947425462676931,Brasil,Homens,2.5,5,0.06738742460875377,0.9326125753912462,81916.53534255232,5520.1443496065585,395782.3158387452,1724810.5429947379,21.05570671149673
