regiao,faixa_etaria,taxa,RMSE_LC,RMSE_LM,MAE_LC,MAE_LM,MAPE_LC,MAPE_LM
Brasil,0,Homens,0.0039699565083280396,0.0022470797735955413,0.0019905159710643856,0.0011962310359466596,13.932124277795962,8.081628948155608
Brasil,1-4,Homens,1.5927229202130152e-4,1.016183839954758e-4,7.860839137564891e-5,5.4128222372556994e-5,14.585868658749446,9.731569024878064
Brasil,5-9,Homens,6.0115741946189135e-5,3.9878785457893395e-5,3.5039767722087963e-5,2.3064851681819726e-5,14.11357111425246,9.041729744142902
Brasil,10-14,Homens,6.282521394123597e-5,4.3466719286818035e-5,4.0257745217655316e-5,2.842617093820396e-5,11.248676845488502,7.769100253785643
Brasil,15-19,Homens,2.2373895939651285e-4,2.0893886833830215e-4,1.6367520942585866e-4,0.00015387684725123301,9.08401912162532,8.546248577862231
Brasil,20-24,Homens,1.5902321562565099e-4,1.3290778342987987e-4,1.2730082714989066e-4,1.0989825814528387e-4,4.668533934690784,4.041150287620704
Brasil,25-29,Homens,1.4059061322945073e-4,7.89454058507642e-5,9.98849858872941e-5,6.110240173517345e-5,3.707008032737903,2.2575311221888956
Brasil,30-34,Homens,1.506640170390426e-4,5.810356147599845e-5,1.0249472746533702e-4,4.729152581272024e-5,3.531362133965458,1.6206355305224234
Brasil,35-39,Homens,1.6253933477443323e-4,5.929555270849857e-5,1.1185878146042062e-4,4.832557417619647e-5,3.3306295103224017,1.42017902269086
Brasil,40-44,Homens,1.8248608085449865e-4,1.0459512156690366e-4,1.376441900901508e-4,8.553598884517211e-5,3.10980230110189,1.882883636104968
Brasil,45-49,Homens,1.9768118992783158e-4,1.79902538907978e-4,1.4896904783082216e-4,1.0328138858418192e-4,2.499094939330533,1.5860349084380478
Brasil,50-54,Homens,2.2147766327742006e-4,2.9149001373783323e-4,1.738658670871282e-4,1.7793315911161976e-4,2.0181165342528202,1.934047524004091
Brasil,55-59,Homens,2.5657505923640093e-4,4.6307632264508094e-4,1.646370339395528e-4,2.0891166992972844e-4,1.2888925185883786,1.5735949321422078
Brasil,60-64,Homens,3.4183375564564566e-4,6.123615078568853e-4,2.833606606056015e-4,3.88557973558683e-4,1.5782952556216034,2.062505909690941
Brasil,65-69,Homens,4.016098026971339e-4,9.00165242877674e-4,3.172604302332526e-4,5.391014855299667e-4,1.230315179656659,2.012147040874104
Brasil,70-74,Homens,2.4168541293925042e-4,0.0010160045556410013,1.7219712295209102e-4,6.082073003992154e-4,0.4499315403562175,1.6025951246888117
Brasil,75-79,Homens,5.551212449311409e-4,0.0011332992925414407,4.39120505765651e-4,8.605219241593614e-4,0.7313037028276438,1.4729258258267537
Brasil,80-84,Homens,0.0011282980220326923,0.001830885150682197,9.189567266704451e-4,0.0015414898444801647,1.001614279606784,1.7161024141220158
Brasil,85-89,Homens,0.0031471636032442112,0.003942362578441215,0.0023023342192383714,0.002777421400158802,1.6167735585067324,1.949742819632265
Brasil,90+,Homens,0.017513824704774313,0.015170015982349927,0.011761857554529154,0.010139744645919253,5.189476254115562,4.475884832660383
Norte,0,Homens,0.0069355279182815276,0.0034570823323426653,0.003823473560618485,0.001859479252223347,20.369039339453668,9.618790111068423
Norte,1-4,Homens,2.6879908073712116e-4,1.5340138498232115e-4,1.4870974160139446e-4,8.412760539133182e-5,17.339863553524104,9.588846132028541
Norte,5-9,Homens,1.1380922276556609e-4,6.647881845621953e-5,6.827556306510281e-5,3.943410850877116e-5,19.160819308888893,10.888990926586164
Norte,10-14,Homens,8.218629751413972e-5,4.834754329345855e-5,4.847362984043945e-5,2.750921440151854e-5,10.636005295345715,5.95887148184965
Norte,15-19,Homens,1.7257488017923087e-4,1.8263209590959614e-4,1.2069568714442583e-4,1.3107293330904594e-4,6.11671905331802,6.617610658256143
Norte,20-24,Homens,1.7156088974154784e-4,1.7857411890880606e-4,1.324026753878365e-4,1.4243838607754346e-4,4.1517418849305745,4.450898852976859
Norte,25-29,Homens,1.1745617378036382e-4,1.126878694002646e-4,8.596614719911826e-5,8.306733899252063e-5,2.6730109655119056,2.582202531031437
Norte,30-34,Homens,1.5456127274817626e-4,9.886825748363516e-5,1.1889714119809606e-4,8.074422318819035e-5,3.5601743991640107,2.415570199018937
