ano,faixa_etaria,mx_previsto,local,sexo,ax,n,qx,px,lx,dx,Lx,Tx,ex
2047,5-9,6.92548424358254e-5,Tocantins,Homens,2.5,5,3.462142696423942e-4,0.9996537857303576,99841.57405116789,34.566577640072104,499121.4538117393,7418197.370108628,74.29968367993547
2047,10-14,2.7862198511333303e-4,Tocantins,Homens,2.5,5,0.001392140223385176,0.9986078597766148,99807.00747352782,138.94534967960294,498687.6739934401,6919075.916296888,69.3245503641822
2047,15-19,0.0025237500077037456,Tocantins,Homens,2.5,5,0.012539632792626246,0.9874603672073737,99668.06212384821,1249.800900185717,495215.8083687768,6420388.242303449,64.41770919881466
2047,20-24,0.003151727912668702,Tocantins,Homens,2.5,5,0.015635442908737494,0.9843645570912625,98418.2612236625,1538.8131045397881,488244.273356963,5925172.433934672,60.203994261484624
2047,25-29,0.0030073395946997165,Tocantins,Homens,2.5,5,0.014924490445877073,0.9850755095541229,96879.44811912271,1445.8763978556906,480782.5496009743,5436928.160577709,56.120552564383694
2047,30-34,0.003045508267539706,Tocantins,Homens,2.5,5,0.015112478392976468,0.9848875216070235,95433.57172126701,1442.2377906022177,473562.26412982953,4956145.610976734,51.932936403681474
2047,35-39,0.0035153346411919244,Tocantins,Homens,2.5,5,0.01742354919085184,0.9825764508091481,93991.3339306648,1637.66263025472,465862.5130776872,4482583.346846905,47.69145366267066
2047,40-44,0.0031835864137718614,Tocantins,Homens,2.5,5,0.015792242149980127,0.9842077578500199,92353.67130041007,1458.4715406157459,458122.17765051103,4016720.8337692176,43.49281167939213
2047,45-49,0.00318602606529045,Tocantins,Homens,2.5,5,0.015804248457631398,0.9841957515423686,90895.19975979433,1436.5303206098272,450884.672997447,3558598.6561187063,39.15056752747004
2047,50-54,0.003198358685587526,Tocantins,Homens,2.5,5,0.01586493901420662,0.9841350609857934,89458.6694391845,1419.2563349447316,443745.2063585606,3107713.9831212596,34.73910357267202
2047,55-59,0.0047557032834588805,Tocantins,Homens,2.5,5,0.023499129202527197,0.9765008707974728,88039.41310423976,2068.849543451196,435024.9416625708,2663968.776762699,30.258820258246455
2047,60-64,0.006544981831602853,Tocantins,Homens,2.5,5,0.03219806970493555,0.9678019302950644,85970.56356078856,2768.0861981028625,422932.6023086857,2228943.835100128,25.926825913198456
2047,65-69,0.009774094090260655,Tocantins,Homens,2.5,5,0.04770479262218916,0.9522952073778108,83202.4773626857,3969.1569282393093,406089.49449283024,1806011.2327914422,21.706219454486995
2047,70-74,0.014933928854821471,Tocantins,Homens,2.5,5,0.07198220158104547,0.9280177984189545,79233.32043444639,5703.3888434478895,381908.13006361225,1399921.738298612,17.668346228867637
2047,75-79,0.024953036784506003,Tocantins,Homens,2.5,5,0.11743903266731898,0.8825609673326811,73529.9315909985,8635.284038141002,346061.44785964,1018013.6082349998,13.844887193661208
2047,80-84,0.05070908171081637,Tocantins,Homens,2.5,5,0.22501912550034783,0.7749808744996521,64894.6475528575,14602.536841997282,287966.8956592943,671952.1603753598,10.354508202360547
2047,85-89,0.10491819701487452,Tocantins,Homens,2.5,5,0.4155849309260831,0.5844150690739169,50292.110710860215,20900.643355899767,199208.9451645517,383985.2647160655,7.635099408010065
2047,90+,0.15906511952559163,Tocantins,Homens,2.5,5,0.5690396841805128,0.43096031581948724,29391.467354960452,16724.911301268545,184776.31955151376,184776.31955151376,6.28673340190784
2048,0,9.17255726998137e-4,Tocantins,Homens,0.04800504564847197,1,9.164554571757954e-4,0.9990835445428242,100000,91.64554571757954,99912.75390288807,7932011.565026237,79.32011565026237
2048,1-4,1.4046838098298787e-4,Tocantins,Homens,1.6478471652212754,4,5.616879404948839e-4,0.9994383120595051,99908.35445428242,56.11731785165875,399501.4213088647,7832098.811123349,78.39283164960223
2048,5-9,6.597526155108762e-5,Tocantins,Homens,2.5,5,3.298219075389002e-4,0.9996701780924611,99852.23713643076,32.9334553243642,499178.8520438429,7432597.389814484,74.43596260801978
2048,10-14,2.732375058614426e-4,Tocantins,Homens,2.5,5,0.001365254932175881,0.9986347450678241,99819.3036811064,136.27879667699258,498755.82141383947,6933418.537770641,69.45969649238282
2048,15-19,0.0025463990868595525,Tocantins,Homens,2.5,5,0.012651456292421598,0.9873485437075784,99683.0248844294,1261.135432421733,495262.28584109264,6434662.716356802,64.55123852648961
2048,20-24,0.003162300983143233,Tocantins,Homens,2.5,5,0.015687483554051116,0.9843125164459489,98421.88945200766,1543.991772137007,488249.4678296957,5939400.430515708,60.34633620208918
2048,25-29,0.0030058613142720987,Tocantins,Homens,2.5,5,0.014917208918349042,0.985082791081651,96877.89767987064,1445.1478392610722,480776.61880120053,5451150.962686013,56.26826235122418
2048,30-34,0.0030358911451236923,Tocantins,Homens,2.5,5,0.01506511559800782,0.9849348844019922,95432.74984060957,1437.7054081845456,473569.48568258656,4970374.343884813,52.08248061788287
2048,35-39,0.0035041104323478363,Tocantins,Homens,2.5,5,0.017368400181069985,0.98263159981893,93995.04443242503,1632.5435467398122,465893.86329527554,4496804.8582022255,47.840871668879004
2048,40-44,0.0031542348572639388,Tocantins,Homens,2.5,5,0.015647782335118918,0.9843522176648811,92362.50088568521,1445.2683097864303,458199.33365395997,4030910.9949069503,43.64228941673969
2048,45-49,0.0031353327196622636,Tocantins,Homens,2.5,5,0.015554740382146328,0.9844452596178537,90917.23257589879,1414.1939489813224,451050.67800704064,3572711.6612529904,39.29630896178509
2048,50-54,0.0031254238815278225,Tocantins,Homens,2.5,5,0.015505962642764675,0.9844940373572353,89503.03862691746,1387.8307733629058,444045.6162011801,3121660.9832459497,34.87770952959725
2048,55-59,0.004654931525553988,Tocantins,Homens,2.5,5,0.023006918551590805,0.9769930814484092,88115.20785355456,2027.2594102432242,435507.89074216475,2677615.3670447697,30.3876644255882
2048,60-64,0.0064069661350299924,Tocantins,Homens,2.5,5,0.0315298046977928,0.9684701953022072,86087.94844331134,2714.336201251262,423653.9017134285,2242107.476302605,26.044382713789798
2048,65-69,0.009562921369383243,Tocantins,Homens,2.5,5,0.04669817930494973,0.9533018206950503,83373.61224206007,3893.3958937810735,407134.57147584774,1818453.5745891763,21.81090066374512
2048,70-74,0.014639840209631457,Tocantins,Homens,2.5,5,0.07061473013413241,0.9293852698658676,79480.216348279,5612.4740284361815,383369.89667030453,1411319.0031133287,17.75685910225744
2048,75-79,0.024491471056038567,Tocantins,Homens,2.5,5,0.11539205249570428,0.8846079475042957,73867.74231984282,8523.750399510458,348029.33560043795,1027949.1064430241,13.916075869654541
2048,80-84,0.05010329014172635,Tocantins,Homens,2.5,5,0.222630188399423,0.7773698116005769,65343.99192033236,14547.545231993967,290351.09652167687,679919.7708425862,10.405237740472712
2048,85-89,0.10435108434355671,Tocantins,Homens,2.5,5,0.41380335081216657,0.5861966491878334,50796.44668833839,21019.739848986006,201432.88381922693,389568.6743209093,7.669211130280589
2048,90+,0.15827241993641875,Tocantins,Homens,2.5,5,0.5670078416356097,0.4329921583643903,29776.70683935238,16883.62627599749,188135.7905016824,188135.7905016824,6.318220195291892
2049,0,8.457992030923153e-4,Tocantins,Homens,0.0477872716086101,1,8.451185608576944e-4,0.9991548814391423,100000,84.51185608576944,99919.52673493515,7946275.66549937,79.4627566549937
2049,1-4,1.334904910565226e-4,Tocantins,Homens,1.648075649459819,4,5.337943743917299e-4,0.9994662056256083,99915.48814391423,53.33432548582501,399536.5142768272,7846356.1387644345,78.5299284877922
2049,5-9,6.285098606307349e-5,Tocantins,Homens,2.5,5,3.142055599921874e-4,0.9996857944400078,99862.15381842841,31.377243962545254,499232.32598223566,7446819.624487607,74.57098950647088
2049,10-14,2.679570837850919e-4,Tocantins,Homens,2.5,5,0.001338888507275652,0.9986611114927243,99830.77657446587,133.66227942795572,498819.7271737595,6947587.298505371,69.5936417295424
2049,15-19,0.0025692514273467294,Tocantins,Homens,2.5,5,0.012764270585680398,0.9872357294143196,99697.11429503791,1272.5609434733692,495304.1691165061,6448767.571331612,64.68359307018154
2049,20-24,0.0031729095229927696,Tocantins,Homens,2.5,5,0.015739696036356925,0.9842603039636431,98424.55335156454,1549.1725522678212,488249.8353771531,5953463.4022151055,60.48758363118821
2049,25-29,0.003004383760504356,Tocantins,Homens,2.5,5,0.014909930916730613,0.9850900690832693,96875.38079929672,1444.4052352494855,480765.89090835984,5465213.5668379525,56.414886029306096
2049,30-34,0.00302630439170866,Tocantins,Homens,2.5,5,0.015017900115856155,0.9849820998841439,95430.97556404723,1433.1728589795707,473571.94567278726,4984447.675929593,52.23092026953395
2049,35-39,0.0034929220615894626,Tocantins,Homens,2.5,5,0.017313424204533134,0.9826865757954668,93997.80270506766,1627.4238325268486,465920.45394402114,4510875.730256805,47.98916145317099
2049,40-44,0.003125153911871116,Tocantins,Homens,2.5,5,0.015504633643150528,0.9844953663568494,92370.37887254081,1432.168883897757,458271.4721529597,4044955.2763127843,43.790610428201234
2049,45-49,0.0030854459635717415,Tocantins,Homens,2.5,5,0.01530914099960128,0.9846908590003988,90938.20998864305,1392.1858789674861,451210.58524579654,3586683.8041598247,39.44088853967714
2049,50-54,0.00305415226980086,Tocantins,Homens,2.5,5,0.015155046797564995,0.984844953202435,89546.02410967556,1357.0741859180164,444337.4350835828,3135473.2189140283,35.01521424417141
2049,55-59,0.00455629508740854,Tocantins,Homens,2.5,5,0.022524900206652848,0.9774750997933471,88188.94992375755,1986.4472963621442,435978.6313778823,2691135.7838304453,30.515566702597397
2049,60-64,0.006271860810554497,Tocantins,Homens,2.5,5,0.030875191789268813,0.9691248082107312,86202.5026273954,2661.5188013357815,424358.7161336375,2255157.152452563,26.16115639009148
2049,65-69,0.00935631110898872,Tocantins,Homens,2.5,5,0.045712309081745936,0.954287690918254,83540.98382605962,3818.851273649975,408157.79094617313,1830798.4363189253,21.9149733755928
2049,70-74,0.014351542949419269,Tocantins,Homens,2.5,5,0.06927230364469134,0.9307276963553086,79722.13255240963,5522.5357733728515,384804.32332861604,1422640.6453727523,17.844989839396266
2049,75-79,0.02403844308285661,Tocantins,Homens,2.5,5,0.1133786026950369,0.8866213973049631,74199.59677903677,8412.64660334235,349966.367386828,1037836.3220441362,13.987088435733263
2049,80-84,0.049504735608149476,Tocantins,Homens,2.5,5,0.22026346637337613,0.7797365336266239,65786.95017569442,14490.461687831039,292708.5966588945,687869.9546573083,10.456024375962757
2049,85-89,0.10378703707739377,Tocantins,Homens,2.5,5,0.4120274220610785,0.5879725779389215,51296.48848786338,21135.55991244014,203643.54265821655,395161.35799841373,7.703477755439495
2049,90+,0.15748367075850223,Tocantins,Homens,2.5,5,0.5649803896291089,0.4350196103708911,30160.928575423244,17040.333178118348,191517.8153401972,191517.8153401972,6.3498646887236845
2050,0,7.799093217905282e-4,Tocantins,Homens,0.04758527953614093,1,7.793304373871217e-4,0.9992206695626129,100000,77.93304373871217,99925.7754219327,7960363.446964316,79.60363446964315
2050,1-4,1.2685923392731125e-4,Tocantins,Homens,1.648287575568639,4,5.072855939328223e-4,0.9994927144060671,99922.06695626129,50.68902508290225,399569.0618149754,7860437.671542384,78.66568327677929
2050,5-9,5.9874661444757e-5,Tocantins,Homens,2.5,5,2.993285017420286e-4,0.9997006714982579,99871.37793117839,29.894349923051525,499282.1537810843,7460868.609727408,74.70477292171448
2050,10-14,2.627787079385094e-4,Tocantins,Homens,2.5,5,0.0013130309482523844,0.9986869690517476,99841.48358125534,131.09495786162054,498879.68051162263,6961586.455946323,69.72639233951969
2050,15-19,0.0025923088533087,Tocantins,Homens,2.5,5,0.012878084336445937,0.9871219156635541,99710.38862339371,1284.0787939118636,495341.74613218894,6462706.775434702,64.81477872726336
2050,20-24,0.003183553651206079,Tocantins,Homens,2.5,5,0.015792080913896455,0.9842079190861035,98426.30982948185,1554.3562488834193,488245.6585252006,5967365.029302512,60.62774312722526
2050,25-29,0.003002906933039296,Tocantins,Homens,2.5,5,0.014902656439340486,0.9850973435606595,96871.95358059842,1443.6494428193978,480750.6442959436,5479119.370777312,56.56043022007015
2050,30-34,0.003016747911395214,Tocantins,Homens,2.5,5,0.014970831495362356,0.9850291685046376,95428.30413777902,1428.64106113488,473569.91803605785,4998368.726481368,52.37826210622733
2050,35-39,0.0034817694144883863,Tocantins,Homens,2.5,5,0.017258620727974638,0.9827413792720253,93999.66307664414,1622.3045335972026,465942.5540492276,4524798.80844531,48.136330071267835
2050,40-44,0.0030963410826532773,Tocantins,Homens,2.5,5,0.01536278436235364,0.9846372156376464,92377.35854304692,1419.1734392606566,458338.859117083,4058856.254396083,43.937782140682195
2050,45-49,0.0030363529632499832,Tocantins,Homens,2.5,5,0.015067390030332308,0.9849326099696677,90958.18510378627,1370.5024514099098,451364.6693904066,3600517.3952789996,39.584314387657265
2050,50-54,0.0029845059232637434,Tocantins,Homens,2.5,5,0.014812013263021347,0.9851879867369786,89587.68265237636,1326.973943650346,444620.9784027559,3149152.725888593,35.1516261237399
2050,55-59,0.004459748722312851,Tocantins,Homens,2.5,5,0.022052867986993435,0.9779471320130065,88260.70870872602,1946.4017575920166,436437.53914965,2704531.747485837,30.642533773564065
2050,60-64,0.0061396044864197195,Tocantins,Homens,2.5,5,0.030233961025216947,0.9697660389747831,86314.306951134,2609.6233922791976,425047.47627497197,2268094.208336187,26.277152519109567
2050,65-69,0.009154164735522816,Tocantins,Homens,2.5,5,0.04474677529649523,0.9552532247035048,83704.6835588548,3745.5146664723143,409159.63112809317,1843046.7320612152,22.018442143268175
2050,70-74,0.014068923026463193,Tocantins,Homens,2.5,5,0.06795449860681307,0.932045501393187,79959.16889238248,5433.585231099337,386211.8813841641,1433887.100933122,17.93274143285555
2050,75-79,0.023593794938881963,Tocantins,Homens,2.5,5,0.11139820847605278,0.8886017915239472,74525.58366128315,8302.016505499132,351872.8770426679,1047675.2195489579,14.057927064491231
2050,80-84,0.04891333165347974,Tocantins,Homens,2.5,5,0.21791881953390677,0.7820811804660932,66223.56715578401,14431.361579912851,295039.4318291379,695802.34250629,10.506868965084404
2050,85-89,0.10322603864699968,Tocantins,Homens,2.5,5,0.4102571437858769,0.5897428562141231,51792.20557587116,21248.122329927868,205840.7220545361,400762.9106771521,7.737900060851215
2050,90+,0.15669885230500327,Tocantins,Homens,2.5,5,0.56295733916531,0.43704266083469,30544.08324594329,17195.01583137996,194922.18862261597,194922.18862261597,6.381667672036107
2051,0,7.191524276588536e-4,Tocantins,Homens,0.047397925720386445,1,7.186600979923848e-4,0.9992813399020076,100000,71.86600979923848,99931.54028999504,7974279.428456769,79.7427942845677
2051,1-4,1.2055739030737426e-4,Tocantins,Homens,1.6484841435064799,4,4.8209289145506156e-4,0.9995179071085449,99928.13399020076,48.174643053044704,399599.2525237829,7874347.888166774,78.8001093759937
2051,5-9,5.703928144463156e-5,Tocantins,Homens,2.5,5,2.8515574452623883e-4,0.9997148442554737,99879.95934714771,28.481344170886373,499328.5933753114,7474748.635642991,74.83732156581469
2051,10-14,2.577004062382404e-4,Tocantins,Homens,2.5,5,0.0012876724469095262,0.9987123275530905,99851.47800297683,128.57599700762592,498935.950022365,6975420.04226768,69.85795485230298
